raceId,driverId,constructorId,number,position,grid,positionText,points,laps,status,millis,time,Fastestlap,Fastlaptime,Fastlaspeed,rank
Australian Grand Prix,kobayashi,sauber,14,6,13,6,8,58,Finished,5686331,+36.766,55,1:30.620,210.668,10
Australian Grand Prix,raikkonen,lotus_f1,9,7,17,7,6,58,Finished,5687579,+38.014,50,1:30.759,210.346,11
Australian Grand Prix,perez,sauber,15,8,22,8,4,58,Finished,5689023,+39.458,46,1:30.843,210.151,12
Australian Grand Prix,ricciardo,toro_rosso,16,9,10,9,2,58,Finished,5689121,+39.556,53,1:30.592,210.733,8
Australian Grand Prix,resta,force_india,11,10,15,10,1,58,Finished,5689302,+39.737,57,1:30.605,210.703,9
Australian Grand Prix,vergne,toro_rosso,17,11,11,11,0,58,Finished,5689413,+39.848,52,1:30.274,211.476,6
Australian Grand Prix,rosberg,mercedes,8,12,7,12,0,58,Finished,5707207,+57.642,53,1:30.931,209.948,14
Australian Grand Prix,maldonado,williams,18,13,8,13,0,57,Accident,,,53,1:30.254,211.523,5
Australian Grand Prix,glock,marussia,24,14,20,14,0,57,+1 Lap,,,43,1:34.253,202.548,19
Australian Grand Prix,pic,marussia,25,15,21,15,0,53,+5 Laps,,,45,1:35.011,200.932,20
Australian Grand Prix,bruno_senna,williams,19,16,14,16,0,52,Collision,,,49,1:30.855,210.123,13
Australian Grand Prix,massa,ferrari,6,17,16,R,0,46,Collision,,,46,1:31.940,207.644,15
Australian Grand Prix,kovalainen,caterham,20,18,18,R,0,38,Suspension,,,26,1:33.693,203.759,17
Australian Grand Prix,petrov,caterham,21,19,19,R,0,34,Steering,,,27,1:33.214,204.806,16
Australian Grand Prix,michael_schumacher,mercedes,7,20,4,R,0,10,Gearbox,,,4,1:34.021,203.048,18
Australian Grand Prix,grosjean,lotus_f1,10,21,3,R,0,1,Collision,,,,,,
Australian Grand Prix,hulkenberg,force_india,12,22,9,R,0,0,Collision,,,,,,
Australian Grand Prix,rosa,hrt,22,23,0,F,0,0,Did not qualify,,,,,,
Australian Grand Prix,karthikeyan,hrt,23,24,0,F,0,0,Did not qualify,,,,,,
Malaysian Grand Prix,alonso,ferrari,5,1,8,1,25,56,Finished,9891812,2:44:51.812,53,1:41.680,196.250,7
Malaysian Grand Prix,perez,sauber,15,2,9,2,18,56,Finished,9894075,+2.263,54,1:41.021,197.531,3
Malaysian Grand Prix,hamilton,mclaren,4,3,1,3,15,56,Finished,9906403,+14.591,50,1:41.539,196.523,6
Malaysian Grand Prix,webber,red_bull,2,4,4,4,12,56,Finished,9909500,+17.688,52,1:41.017,197.539,2
Malaysian Grand Prix,raikkonen,lotus_f1,9,5,10,5,10,56,Finished,9921268,+29.456,53,1:40.722,198.117,1
Malaysian Grand Prix,bruno_senna,williams,19,6,13,6,8,56,Finished,9929479,+37.667,55,1:41.404,196.785,5
Australian Grand Prix,raikkonen,lotus_f1,7,1,7,1,25,58,Finished,5403225,1:30:03.225,56,1:29.274,213.845,1
Australian Grand Prix,alonso,ferrari,3,2,5,2,18,58,Finished,5415676,+12.451,53,1:29.560,213.162,3
Australian Grand Prix,vettel,red_bull,1,3,1,3,15,58,Finished,5425571,+22.346,42,1:30.409,211.160,10
Australian Grand Prix,massa,ferrari,4,4,4,4,12,58,Finished,5436802,+33.577,38,1:30.239,211.558,8
